trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2024-08-26,227.179993,190.00572272204946,185.80401817303297,193.4082245524191,200.6759123327326,170.5724923136211,163.8076828557572,227.179993,46.255722722049455
2024-08-27,228.029999,190.71663921700718,186.49921376744075,193.4082245524191,200.6759123327326,171.21069834570568,163.8076828557572,228.029999,46.966639217007184
2024-08-28,226.490005,189.42863991260708,185.23969672377942,193.4082245524191,200.6759123327326,170.05443184855852,163.8076828557572,226.490005,45.67863991260708
2024-08-29,229.789993,192.1886391389214,187.93866251837204,193.4082245524191,200.6759123327326,172.53214641458126,163.8076828557572,229.789993,48.43863913892139
2024-08-30,229.0,191.5279155033222,187.29254984009333,192.7433081148315,199.9860103751157,171.9389996627882,163.24452986065586,229.0,47.77791550332219
2024-09-19,228.869995,191.419183683868,187.18622246916772,192.7433081148315,199.87247683241344,171.8413886162766,163.24452986065586,228.869995,47.669183683868
2024-09-20,228.199997,191.419183683868,186.63825026913383,192.7433081148315,199.28736667093176,171.8413886162766,163.24452986065586,228.199997,47.669183683868
2024-09-23,226.470001,191.419183683868,185.22333602436018,191.2821111102346,197.77655881938193,170.5386501462993,162.00696462229692,226.470001,47.669183683868
2024-09-24,227.369995,192.1798853928788,185.95941537414527,192.0422680914965,198.56252479938865,171.2163724107142,162.65078188495625,227.369995,48.42988539287879
2024-09-25,226.369995,191.33465563689063,185.14154397746364,191.19764359259773,197.68922344403882,170.46334265227702,161.93542460184176,226.369995,47.58465563689063
2024-09-26,227.520004,192.30667746334484,186.0821034444901,191.19764359259773,198.69352786240333,171.32933365174762,161.93542460184176,227.520004,48.55667746334484
2024-09-27,227.789993,192.53488019993432,186.3029197250088,191.42453028250796,198.9293096220329,171.53264340319834,162.12758697255282,227.789993,48.78488019993432
2024-09-30,233.0,192.53488019993432,190.56403542681986,191.42453028250796,203.4792157965151,175.45593371586438,162.12758697255282,233.0,48.78488019993432
2024-10-01,226.210007,186.9241055698339,185.01069436845134,185.84611302651433,197.5495057067991,170.34286692728418,157.40292954486816,226.210007,43.1741055698339
2024-10-02,226.779999,187.39510703521984,185.01069436845134,185.84611302651433,198.0472804929377,170.7720878653553,157.40292954486816,226.779999,43.64510703521984
2024-10-03,225.669998,187.39510703521984,185.01069436845134,185.84611302651433,197.07791511519798,169.93622408046028,157.40292954486816,225.669998,43.64510703521984
2024-10-04,226.800003,188.3334568814645,185.01069436845134,185.84611302651433,198.0647500132501,170.7871514726431,157.40292954486816,226.800003,44.583456881464514
2024-10-07,221.690002,184.09014056635078,185.01069436845134,185.84611302651433,193.602179214111,166.9391686539993,157.40292954486816,221.690002,40.34014056635078
2024-10-08,225.770004,187.47815145955738,185.01069436845134,185.84611302651433,197.1652504905411,166.9391686539993,157.40292954486816,225.770004,43.72815145955738
2024-10-09,229.539993,190.60872928752636,185.01069436845134,185.84611302651433,200.45758699389515,166.9391686539993,157.40292954486816,229.539993,46.85872928752636
2024-10-10,229.039993,190.60872928752636,184.6076911881549,185.84611302651433,200.0209363162202,166.9391686539993,157.40292954486816,229.039993,46.85872928752636
2024-10-11,227.550003,190.60872928752636,183.40674977093508,184.63711521647522,198.71972602976248,166.9391686539993,157.40292954486816,227.550003,46.85872928752636
2024-10-14,231.300003,193.74994100101608,183.40674977093508,184.63711521647522,201.99460611232442,169.6903085098511,157.40292954486816,231.300003,49.99994100101608
2024-10-15,233.850006,193.74994100101608,185.42874612229758,186.67267592381063,204.2215271883706,171.56108581274222,159.13824271971583,233.850006,49.99994100101608
2024-10-16,231.779999,192.03489407421938,183.78735722930614,185.0202759411011,202.41378726968694,170.04245147685094,157.7295736243748,231.779999,48.28489407421938
2024-10-17,232.149994,192.03489407421938,184.08074062533444,185.0202759411011,202.73690440465958,170.31389360777519,157.7295736243748,232.149994,48.28489407421938
2024-10-18,235.0,194.3924241817622,186.34062099934232,185.0202759411011,205.2258185072148,172.4047643000463,157.7295736243748,235.0,50.64242418176221
