trade_date,close_price,position,action
2021-12-10,179.449997,LONG,HOLD
2021-12-13,175.740005,FLAT,SELL
2021-12-14,174.330002,FLAT,HOLD
2021-12-27,180.330002,LONG,BUY
2021-12-28,179.289993,LONG,HOLD
2021-12-29,179.380005,FLAT,SELL
2021-12-30,178.199997,FLAT,HOLD
2021-12-31,177.570007,FLAT,HOLD
2022-04-01,174.309998,LONG,BUY
2022-04-04,178.440002,LONG,HOLD
2022-04-05,175.059998,FLAT,SELL
2022-04-21,166.419998,FLAT,HOLD
2022-05-04,166.020004,LONG,BUY
2022-05-05,156.770004,FLAT,SELL
2022-05-06,157.279999,FLAT,HOLD
2022-05-27,149.639999,LONG,BUY
2022-05-31,148.839996,FLAT,SELL
2022-06-01,148.710007,FLAT,HOLD
2022-06-02,151.210007,LONG,BUY
2022-06-03,145.380005,FLAT,SELL
2022-06-06,146.139999,FLAT,HOLD
2022-06-07,148.710007,LONG,BUY
2022-06-08,147.960007,FLAT,SELL
2022-06-09,142.639999,FLAT,HOLD
2022-06-27,141.660004,FLAT,HOLD
2022-06-28,137.440002,FLAT,HOLD
2022-06-29,139.229996,FLAT,HOLD
2022-06-30,136.720001,FLAT,HOLD
2022-10-14,138.380005,FLAT,HOLD
2022-10-17,142.410004,FLAT,HOLD
2022-10-18,143.75,FLAT,HOLD
2022-10-19,143.860001,FLAT,HOLD
2022-10-20,143.389999,FLAT,HOLD
2022-10-21,147.270004,LONG,BUY
2022-10-24,149.449997,LONG,HOLD
2022-10-25,152.339996,LONG,HOLD
2022-10-26,149.350006,FLAT,SELL
2022-10-27,144.800003,FLAT,HOLD
2022-10-28,155.740005,LONG,BUY
2022-10-31,153.339996,FLAT,SELL
2022-11-01,150.649994,FLAT,HOLD
2022-11-14,148.279999,FLAT,HOLD
2022-11-15,150.039993,FLAT,HOLD
2022-11-16,148.789993,FLAT,HOLD
2022-11-17,150.720001,LONG,BUY
2022-11-18,151.289993,FLAT,SELL
2022-11-21,148.009995,FLAT,HOLD
2022-11-22,150.179993,LONG,BUY
2022-11-23,151.070007,LONG,HOLD
2022-11-25,148.110001,FLAT,SELL
2022-11-28,144.220001,FLAT,HOLD
2023-04-03,166.169998,LONG,BUY
