trade_date,close_price,portfolio_value_PPO_Paper,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_Paper
2023-11-13,184.800003,176.83610435128813,152.15173503682166,164.63372902726772,154.86686274913959,157.96183807089326,141.22437439089572,184.800003,38.45609935128812
2023-11-14,187.440002,179.36233341553384,154.32533039301583,164.63372902726772,154.86686274913959,160.2184348662154,141.22437439089572,187.440002,40.98232841553383
2023-11-15,188.009995,179.90776274449064,154.7946238048176,165.13436961683325,155.33780292603402,160.70564882999193,141.65382863744546,188.009995,41.52775774449063
2023-11-16,189.710007,179.90776274449064,156.19429789131323,165.13436961683325,156.7423885121774,162.15877121042053,141.65382863744546,189.710007,41.52775774449063
2023-11-17,189.690002,179.90776274449064,156.17782713693012,165.13436961683325,156.72585996140788,162.14167149981822,141.65382863744546,189.690002,41.52775774449063
2023-11-20,191.449997,181.57699549030235,157.62688713995476,165.13436961683325,158.1800047607884,163.646065659355,141.65382863744546,191.449997,43.19699049030234
2023-11-21,190.639999,181.57699549030235,156.9599899588094,165.13436961683325,157.51076741681376,162.95370218080166,141.65382863744546,190.639999,43.19699049030234
2023-11-22,191.309998,182.21514281531105,157.51162149922087,165.13436961683325,158.06433464935714,163.5263984569249,141.65382863744546,191.309998,43.83513781531104
2023-11-24,189.970001,180.9388491177538,156.40835924172978,165.13436961683325,156.95720101049142,162.3810067594503,141.65382863744546,189.970001,42.55884411775378
2023-11-27,189.789993,180.9388491177538,156.26015291556158,165.13436961683325,156.8084746237421,162.22714099058737,141.65382863744546,189.789993,42.55884411775378
2023-11-28,190.399994,181.52040179688095,156.76238618946576,165.13436961683325,157.31247024973356,162.74855266602484,141.65382863744546,190.399994,43.140396796880935
2023-12-05,193.419998,184.39956333460762,159.24885177906935,165.13436961683325,159.80766092397317,165.32996703332574,141.65382863744546,193.419998,46.01955833460761
2023-12-06,192.320007,184.39956333460762,158.3431941142538,165.13436961683325,158.89882527840865,164.3897257053998,141.65382863744546,192.320007,46.01955833460761
2023-12-07,194.270004,184.39956333460762,159.9486888223172,165.13436961683325,160.50995371704488,166.05652822354006,141.65382863744546,194.270004,46.01955833460761
2023-12-08,195.710007,185.76640288231528,161.13428920841798,165.13436961683325,161.69971441155954,167.28740223336138,141.65382863744546,195.710007,47.386397882315265
2023-12-11,193.179993,185.76640288231528,159.05124800972575,162.99961793286974,159.60936375689298,165.12481751854892,139.8226183937795,193.179993,47.386397882315265
2023-12-12,194.710007,185.76640288231528,160.31095732223386,162.99961793286974,160.8734934283292,166.43263039620456,139.8226183937795,194.710007,47.386397882315265
2023-12-13,197.960007,185.76640288231528,162.98678595233224,162.99961793286974,163.55871162382783,169.2106388669642,139.8226183937795,197.960007,47.386397882315265
2023-12-14,198.110001,185.76640288231528,163.11028079526858,163.12312249857843,163.6826398139865,169.3388495139067,139.92856178174551,198.110001,47.386397882315265
2023-12-15,197.570007,185.26005417477054,162.66568651672046,162.67849321703855,163.236485440368,168.87727785047304,139.54715456651476,197.570007,46.880049174770534
2023-12-18,195.889999,185.26005417477054,161.28248236127604,162.67849321703855,161.84842757877314,167.4412543258749,139.54715456651476,195.889999,46.880049174770534
2023-12-19,196.940002,186.2530789011818,162.146983311765,162.67849321703855,162.71596208982797,168.33876731920506,139.54715456651476,196.940002,47.87307390118178
2023-12-20,194.830002,184.25757777144435,160.40975303191652,162.67849321703855,160.97263581521193,166.5351987428042,139.54715456651476,194.830002,45.877572771444335
2024-01-11,185.589996,175.5189794720222,152.80216146358393,162.67849321703855,153.33834897283757,158.6371018388443,139.54715456651476,185.589996,37.1389744720222
2024-01-12,185.919998,175.83107395724286,152.80216146358393,162.67849321703855,153.61100354974553,158.6371018388443,139.54715456651476,185.919998,37.45106895724285
2024-01-16,183.630005,175.83107395724286,152.80216146358393,162.67849321703855,151.7189632816949,158.6371018388443,139.54715456651476,183.630005,37.45106895724285
2024-01-18,188.630005,180.6187194718537,152.80216146358393,162.67849321703855,155.85006819784667,158.6371018388443,139.54715456651476,188.630005,42.23871447185368
2024-01-19,191.559998,180.6187194718537,152.80216146358393,162.67849321703855,155.85006819784667,158.6371018388443,139.54715456651476,191.559998,42.23871447185368
2024-01-22,193.889999,182.81563846006614,154.66073941685949,164.6571999190202,155.85006819784667,158.6371018388443,139.54715456651476,193.889999,44.43563346006613
2024-01-23,195.179993,182.81563846006614,155.68973228349677,165.75270149748138,155.85006819784667,159.69255034369215,139.54715456651476,195.179993,44.43563346006613
2024-01-24,194.5,182.17872197834777,155.14732049990454,165.17523105588046,155.85006819784667,159.13619303105583,139.54715456651476,194.5,43.798716978347755
2024-01-25,194.169998,181.869625101174,154.88408694689883,164.8949834641123,155.85006819784667,158.8661916841528,139.54715456651476,194.169998,43.48962010117398
2024-01-26,192.419998,181.869625101174,153.48815989869917,163.40883099959925,155.85006819784667,157.4343750373438,139.54715456651476,192.419998,43.48962010117398
2024-01-29,191.729996,181.869625101174,152.93776421006382,163.40883099959925,155.85006819784667,156.8698285516687,139.54715456651476,191.729996,43.48962010117398
2024-01-30,188.039993,181.869625101174,152.93776421006382,163.40883099959925,155.85006819784667,153.8507384247115,139.54715456651476,188.039993,43.48962010117398
